Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16226.0831,NA,19.64250000000000,20.84370000000000,0.71060000000000,2.46170000000000,10.9481,16207.0016,19.7921,19.0815,0.7106,17.7892,3.7540,3.3231,0.4309,-10.2808,16207.0016,NA,26.6214,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16236.4127,NA,10.32960000000000,13.90020000000000,0.47700000000000,2.93890000000000,14.5187,16226.7937,10.0960,9.6190,0.4770,9.0706,3.4873,3.2394,0.2479,5.8919,16226.7937,NA,21.5493,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16247.2504,NA,10.83770000000000,6.96080000000000,0.64040000000000,3.19630000000000,10.6418,16236.8897,11.0011,10.3607,0.6404,10.0060,3.5510,3.2917,0.2593,3.1352,16236.8897,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16253.8410,NA,6.59060000000000,6.93850000000000,0.43320000000000,3.27300000000000,10.9897,16247.8908,6.3834,5.9502,0.4332,5.6410,3.5822,3.2922,0.2900,4.0626,16247.8908,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16264.6012,NA,10.76020000000000,13.90140000000000,0.54030000000000,3.35000000000000,14.1309,16254.2742,10.8673,10.3270,0.5403,10.0986,3.5784,3.2635,0.3149,-7.5180,16254.2742,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16281.1486,NA,16.54740000000000,13.89160000000000,5.32670000000000,2.75090000000000,11.4751,16265.1415,21.3338,16.0071,5.3267,13.0122,5.7458,3.4825,2.2633,-3.0243,16265.1415,NA,NA,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16300.1490,NA,19.00040000000000,20.84480000000000,0.43030000000000,2.90550000000000,13.3195,16286.4753,14.1040,13.6737,0.4303,1.3539,15.2253,3.3927,11.8326,0.4890,16286.4753,NA,14.0915,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16313.5231,NA,13.37410000000000,13.89400000000000,0.54270000000000,2.64340000000000,13.8394,16300.5793,13.4865,12.9438,0.5427,5.4226,10.1646,3.5966,6.5680,0.2100,16300.5793,NA,25.0139,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16327.8759,NA,14.35280000000000,13.90330000000000,0.58200000000000,2.92930000000000,13.3899,16314.0658,14.3921,13.8101,0.5820,13.2911,3.4483,3.2068,0.2415,-0.4168,16314.0658,NA,31.9016,NA
javaw.exe,36592,0x23BCC791C40,DXGI,0,512,0,Composed: Flip,16337.1772,NA,9.30130000000000,6.95220000000000,1.20280000000000,2.34860000000000,11.0408,16328.4579,9.9221,8.7193,1.2028,7.4082,3.6597,3.4085,0.2512,7.4399,16328.4579,NA,13.8067,NA
